International Designator,NORAD Catalog Number,Name,Period (minutes),Inclination (degrees),Apogee Height (km),Perigee Height (km),Eccentricity,Latest Data,GP Age (days)
2020-035Y,45679,STARLINK-1394,95.59,53.05,548,546,0.0001370,,0.98
2020-035Z,45680,STARLINK-1395,95.59,53.05,548,546,0.0001460,,0.57
2020-035AB,45682,STARLINK-1397,95.59,53.05,548,546,0.0001374,,0.97
2020-035AC,45683,STARLINK-1399,95.59,53.05,548,546,0.0001124,,0.98
2020-035AD,45684,STARLINK-1401,92.35,53.05,390,389,0.0001029,,0.64
2020-035AE,45685,STARLINK-1402,95.59,53.05,548,546,0.0001541,,0.55
2020-035AF,45686,STARLINK-1404,95.59,53.05,548,546,0.0001065,,0.95
2020-035AH,45688,STARLINK-1408,92.32,53.07,395,381,0.0009831,,0.39
2020-035AJ,45689,STARLINK-1413,95.59,53.06,548,546,0.0001299,,0.93
2020-035AK,45690,STARLINK-1414,95.59,53.05,548,546,0.0001285,,0.97
2020-035AN,45693,STARLINK-1417,95.59,53.05,548,546,0.0001524,,0.54
2020-035AQ,45695,STARLINK-1420,95.59,53.05,549,546,0.0001941,,0.60
2020-035AR,45696,STARLINK-1422,95.59,53.05,548,546,0.0001275,,0.53
2020-035AS,45697,STARLINK-1351,95.59,53.06,548,546,0.0001543,,0.62
2020-035AU,45699,STARLINK-1398,95.59,53.06,548,546,0.0001628,,1.04
2020-035AV,45700,STARLINK-1400,95.59,53.05,548,546,0.0001493,,0.58
2020-035AW,45701,STARLINK-1403,95.59,53.05,548,546,0.0001161,,0.61
2020-035AX,45702,STARLINK-1405,95.40,53.05,541,536,0.0003554,,1.05
2020-035AY,45703,STARLINK-1407,95.50,53.05,544,541,0.0002326,,1.04
2020-035BB,45706,STARLINK-1411,95.59,53.05,548,546,0.0001528,,0.59
2020-035BC,45707,STARLINK-1412,93.79,53.06,461,459,0.0001345,,0.64
2020-035BD,45708,STARLINK-1418,95.59,53.05,548,546,0.0001575,,0.62
2020-035BF,45710,STARLINK-1423,95.59,53.05,548,547,0.0000741,,0.59
2020-035BG,45711,STARLINK-1433,95.59,53.05,548,546,0.0001301,,1.00
2020-035BH,45712,STARLINK-1434,95.59,53.05,549,546,0.0002463,,0.61
2020-038B,45731,STARLINK-1465,95.59,53.05,548,546,0.0001275,,1.04
2020-038D,45733,STARLINK-1467,90.37,53.05,296,289,0.0005020,*D,0.39
2020-038E,45734,STARLINK-1468,91.68,53.06,362,353,0.0006503,,0.39
2020-038F,45735,STARLINK-1471,95.59,53.05,548,546,0.0001582,,1.02
2020-038J,45738,STARLINK-1474,94.68,53.06,504,502,0.0001362,,0.49
2020-038K,45739,STARLINK-1475,94.49,53.07,498,490,0.0006482,,0.50
2020-038L,45740,STARLINK-1479,95.34,53.05,536,534,0.0001319,,0.64
2020-038M,45741,STARLINK-1480,95.59,53.06,548,546,0.0001133,,0.46
2020-038N,45742,STARLINK-1481,95.48,53.05,543,541,0.0001432,,0.64
2020-038P,45743,STARLINK-1483,91.44,53.04,349,341,0.0006277,,0.64
2020-038Q,45744,STARLINK-1500,95.59,53.05,548,546,0.0001603,,1.34
2020-038R,45745,STARLINK-1503,95.59,53.05,548,546,0.0001235,,0.49
2020-038S,45746,STARLINK-1504,94.99,53.05,520,516,0.0003345,,1.06
2020-038T,45747,STARLINK-1506,95.59,53.05,548,546,0.0001537,,0.47
2020-038U,45748,STARLINK-1507,94.05,53.05,480,465,0.0011435,,0.39
2020-038W,45750,STARLINK-1391,95.59,53.05,548,546,0.0001217,,0.52
2020-038X,45751,STARLINK-1464,95.59,53.05,548,546,0.0001824,,0.52
2020-038Z,45753,STARLINK-1476,94.77,53.05,509,506,0.0001802,,0.64
2020-038AA,45754,STARLINK-1477,95.59,53.05,548,546,0.0001236,,0.58
2020-038AB,45755,STARLINK-1478,95.59,53.05,548,546,0.0001732,,1.09
2020-038AC,45756,STARLINK-1484,94.65,53.05,504,498,0.0004323,,0.61
2020-038AD,45757,STARLINK-1486,91.83,53.07,369,359,0.0007439,,0.39
2020-038AE,45758,STARLINK-1487,93.26,53.03,435,433,0.0001711,,0.79
2020-038AF,45759,STARLINK-1493,95.59,53.05,548,546,0.0001534,,0.63
2020-038AG,45760,STARLINK-1494,95.59,53.05,548,546,0.0001585,,0.83
2020-038AJ,45762,STARLINK-1499,91.37,53.00,343,341,0.0001504,,0.39
2020-038AL,45764,STARLINK-1502,95.59,53.05,548,546,0.0000886,,0.53
2020-038AN,45766,STARLINK-1509,90.41,53.03,296,294,0.0001489,*D,0.39
2020-038AP,45767,STARLINK-1511,91.66,53.04,362,350,0.0009025,,0.64
2020-038AT,45771,STARLINK-1463,95.49,53.05,543,541,0.0001189,,0.64
2020-038AU,45772,STARLINK-1470,95.59,53.05,548,546,0.0001496,,1.16
2020-038AV,45773,STARLINK-1482,95.59,53.05,548,546,0.0001776,,0.50
2020-038AW,45774,STARLINK-1485,95.59,53.05,548,546,0.0001482,,0.60
2020-038AX,45775,STARLINK-1488,89.42,53.06,250,242,0.0006408,*D,0.69
2020-038AY,45776,STARLINK-1489,94.19,53.05,485,473,0.0008465,,0.66
2020-038AZ,45777,STARLINK-1490,92.30,53.02,392,383,0.0006820,,0.83
2020-038BA,45778,STARLINK-1491,94.31,53.05,486,484,0.0001207,,0.39
2020-038BB,45779,STARLINK-1492,91.96,53.01,373,368,0.0003213,,0.39
2020-038BC,45780,STARLINK-1496,95.59,53.05,548,546,0.0001452,,0.60
2020-038BD,45781,STARLINK-1497,95.31,53.05,537,531,0.0004302,,1.16
2020-038BE,45782,STARLINK-1498,91.02,53.04,327,322,0.0003565,,0.39
2020-038BG,45784,STARLINK-1510,94.98,53.06,522,514,0.0005875,,1.18
2020-038BH,45785,STARLINK-1512,91.61,53.04,359,348,0.0008634,,0.64
2020-038BJ,45786,STARLINK-1513,95.59,53.05,548,546,0.0001269,,0.51
