International Designator,NORAD Catalog Number,Name,Period (minutes),Inclination (degrees),Apogee Height (km),Perigee Height (km),Eccentricity,Latest Data,GP Age (days)
2006-012A,29055,ASTRA 1KR,1436.1,0.01,35804,35769,0.0004112,*G,1.17
2006-014A,29079,EROS B,94.34,97.34,490,483,0.0005736,,0.26
2006-016B,29108,CALIPSO,98.13,98.44,670,668,0.0001753,,0.55
2006-018A,29155,EWS-G1 (GOES 13),1457.06,3.2,36475,35917,0.0065563,,0.83
2006-021A,29228,RESURS-DK 1,95.39,69.93,540,535,0.0003719,,0.58
2006-023A,29236,GALAXY 16 (G-16),1436.07,0.05,35799,35773,0.0003042,*G,0.62
2006-029A,29252,GENESIS 1,92.36,64.51,414,367,0.0034603,,0.66
2006-031A,29268,ARIRANG-2 (KOMPSAT-2),98.36,97.84,689,671,0.0013314,,0.29
2006-032A,29270,EUTELSAT HOTBIRD 13B,1436.04,0.34,35805,35766,0.0004685,*G,0.6
2006-033A,29272,JCSAT-3A,1436.08,0.03,35794,35779,0.0001757,*G,0.79
2006-033B,29273,SYRACUSE 3B,1436.07,1.59,35808,35764,0.0005193,*G,0.37
2006-034A,29349,KOREASAT 5 (MUGUNGWHA 5),1436.11,0.46,35796,35778,0.0002138,*G,0.74
2006-041A,29479,HINODE (SOLAR-B),98.13,98.08,683,656,0.0019003,,0.88
2006-042A,29486,NAVSTAR 58 (USA 190),717.95,54.68,20461,19902,0.0105313,,1.03
2006-043A,29494,DIRECTV 9S,1436.08,1.1,35798,35774,0.0002904,*G,0.48
2006-043B,29495,OPTUS D1,1436.1,1.71,35802,35771,0.0003647,*G,0.81
2006-046A,29505,SHIJIAN-6 02A (SJ-6 02A),95.45,97.7,544,537,0.0005156,,0.27
2006-046B,29506,SHIJIAN-6 02B (SJ-6 02B),96.07,97.72,571,569,0.0001533,,0.24
2006-050A,29522,DMSP 5D-3 F17 (USA 191),101.79,98.74,851,835,0.0011017,,0.26
2006-051A,29526,BADR-4,1436.1,0.68,35822,35752,0.000829,*G,0.6
2006-052A,29601,NAVSTAR 59 (USA 192),718.01,55.06,20417,19950,0.0087883,,1.12
2006-054A,29643,WILDBLUE-1,1436.09,1.48,35794,35779,0.0001825,*G,0.48
2007-001A,29709,LAPAN-TUBSAT,96.98,98.1,623,604,0.0013538,,0.28
2007-004A,30580,THEMIS A,1639.37,6.79,78483,871,0.8426018,,1.58
2007-007B,30794,SKYNET 5A,1436.09,3.99,35804,35769,0.0004107,*G,1.01
2007-004D,30797,THEMIS D,1639.36,2.15,78398,955,0.8407696,,0.25
2007-004E,30798,THEMIS E,1639.41,4.5,78350,1005,0.8396816,,0.6
2007-009A,31102,ANIK F3,1436.02,0.04,35793,35777,0.0001826,*G,0.77
2007-010A,31113,HAIYANG-1B,100.64,98.31,798,780,0.0012424,,0.57
2007-012B,31118,SAUDISAT 3,97.91,98.08,670,647,0.0015991,,0.64
2007-012C,31119,SAUDICOMSAT 7,98.3,98.31,718,637,0.0056936,,0.67
2007-012E,31121,SAUDICOMSAT 6,98.53,98.34,741,636,0.0074335,,0.63
2007-012H,31124,SAUDICOMSAT 5,98.17,98.28,704,638,0.0047252,,0.62
2007-012J,31125,SAUDICOMSAT 3,98.02,98.25,691,636,0.0039151,,0.56
2007-012L,31127,SAUDICOMSAT 4,98.41,98.33,729,636,0.0065905,,0.64
2007-016A,31306,ASTRA 1L,1436.07,0.05,35807,35765,0.0004944,*G,0.61
2007-016B,31307,GALAXY 17 (G-17),1436.09,1.67,35810,35763,0.0005641,*G,0.62
2007-019A,31490,YAOGAN-2,97.21,98.31,641,610,0.0022352,,0.53
2007-020A,31571,GLOBALSTAR M065,114.11,51.99,1423,1407,0.0010535,,0.22
2007-020C,31573,GLOBALSTAR M069,115.45,51.99,1477,1474,0.0001722,,0.31
2007-020D,31574,GLOBALSTAR M072,120.83,52.01,1719,1717,0.0000853,,0.44
2007-020F,31576,GLOBALSTAR M071,118.2,52.01,1601,1599,0.000104,,0.57
2007-023A,31598,COSMO-SKYMED 1,97.16,97.89,623,622,0.0001245,,0.22
2007-026A,31698,TERRASAR-X,94.79,97.45,510,507,0.0001735,,1.04
2007-028A,31789,GENESIS 2,92.6,64.48,410,394,0.0011788,,0.26
2007-029A,31792,COSMOS 2428,101.92,70.95,852,847,0.0003218,,0.58
2007-031A,31800,ZHONGXING-6B,1436.13,1.08,35806,35768,0.0004537,*G,0.76
2007-032A,31862,DIRECTV 10,1436.1,0.01,35789,35785,0.0000515,*G,0.55
2007-036B,32019,BSAT-3A,1436.09,0.07,35799,35774,0.0003064,*G,1.37
2007-041A,32060,WORLDVIEW-1 (WV-1),94.48,97.39,496,491,0.0003889,,0.64
2007-044A,32252,OPTUS D2,1436.09,0.75,35815,35758,0.0006872,*G,0.78
2007-044B,32253,INTELSAT 11 (IS-11),1436.11,2.23,35804,35769,0.000415,*G,0.61
2007-046A,32258,WGS F1 (USA 195),1436.06,0.07,35790,35782,0.0000975,*G,0.61
2007-047A,32260,NAVSTAR 60 (USA 196),718.01,53.73,20605,19761,0.0159012,,1.31
2007-048B,32264,GLOBALSTAR M070,114.08,51.97,1414,1412,0.0001187,,0.51
2007-048C,32265,GLOBALSTAR M066,115.93,51.97,1498,1497,0.0000858,,0.9
2007-052A,32275,COSMOS 2433 [GLONASS-M],675.73,65.85,19141,19119,0.0004341,,1.07
2007-052B,32276,COSMOS 2432 [GLONASS-M],675.73,65.86,19160,19100,0.0011819,,1.44
2007-055A,32289,YAOGAN-3,96.8,97.87,606,605,0.0001149,,0.23
2007-056B,32294,SKYNET 5B,1436.13,3.95,35804,35771,0.0003922,*G,0.53
2007-057A,32299,ASTRA 4A,1436.12,0.03,35799,35775,0.0002776,*G,0.74
2007-059A,32376,COSMO-SKYMED 2,97.15,97.89,624,621,0.0001474,,0.26
2007-061A,32382,RADARSAT-2,100.7,98.58,793,791,0.0001162,,0.25
2007-062A,32384,NAVSTAR 61 (USA 199),717.99,55.45,20257,20108,0.0028146,,0.26
2007-063B,32388,HORIZONS-2,1436.09,1.28,35795,35778,0.0001976,*G,0.62
2007-065A,32393,COSMOS 2434 [GLONASS-M],675.73,64.32,19143,19117,0.000501,,0.2
2007-065C,32395,COSMOS 2436 [GLONASS-M],675.74,64.33,19175,19085,0.0017555,,1.11
2008-001A,32404,THURAYA-3,1436.1,5.16,35797,35776,0.0002508,*G,1.01
2008-006A,32487,THOR 5,1436.11,0.05,35797,35777,0.0002457,*G,0.58
2008-011A,32708,AMC-14,1436.1,23.37,35963,35610,0.00418,*G,1.31
2008-012A,32711,NAVSTAR 62 (USA 201),718.01,54.46,20693,19673,0.0192154,,0.9
2008-013A,32729,DIRECTV 11,1436.1,0.02,35789,35785,0.0000519,*G,0.55
2008-016A,32763,ICO G1,1436.11,5.24,35798,35776,0.0002552,*G,0.98
2008-018A,32767,VINASAT-1,1436.11,0.05,35795,35779,0.0001866,*G,0.79
2008-018B,32768,STAR ONE C2,1436.08,0.04,35798,35774,0.0002843,*G,0.47
2008-021A,32783,CARTOSAT-2A,97.38,97.84,641,625,0.0011059,,0.28
2008-021C,32785,CUTE-1.7+APD II (CO-65),95.89,97.77,568,555,0.0008831,,0.35
2008-021F,32788,AAUSAT-II,93.31,97.61,442,432,0.0007135,,0.98
2008-021H,32790,CANX-2,96.03,97.8,577,560,0.0011546,,0.55
2008-021J,32791,SEEDS II (CO-66),95.18,97.71,529,526,0.0002344,,0.59
2008-022A,32794,AMOS-3,1436.09,0.02,35798,35775,0.0002782,*G,0.32
2008-024A,32951,GALAXY 18 (G-18),1436.07,0.01,35799,35773,0.0003017,*G,0.56
2008-025A,32953,YUBILEINY (RS-30),115.83,82.51,1509,1478,0.0019722,,0.28
2008-025B,32954,COSMOS 2437,115.87,82.5,1512,1478,0.0021028,,0.58
2008-025C,32955,COSMOS 2438,115.82,82.5,1509,1476,0.0021285,,0.58
2008-025D,32956,COSMOS 2439,115.84,82.51,1510,1477,0.0021078,,0.57
2008-026A,32958,FENGYUN 3A,101.46,98.63,834,821,0.0009052,,0.63
2008-028A,33051,ZHONGXING-9,1436.09,0.01,35805,35768,0.0004332,*G,0.36
2008-029A,33053,FGRST (GLAST),94.75,25.58,514,500,0.0010269,,0.79
2008-030A,33055,SKYNET 5C,1436.1,2.47,35808,35765,0.000516,*G,0.32
2008-030B,33056,TURKSAT 3A,1436.06,0.02,35799,35773,0.0003115,*G,1.02
2008-034A,33153,INTELSAT 25 (IS-25),1436.1,1.39,35799,35774,0.0002992,*G,0.61
2008-034B,33154,BADR-6,1458.29,1.53,36249,36191,0.0006747,,0.61
2008-035A,33207,ECHOSTAR 11,1436.1,0.01,35798,35776,0.0002586,*G,0.89
2008-038A,33274,SUPERBIRD-C2,1436.1,1.04,35793,35780,0.0001531,*G,0.82
2008-038B,33275,AMC-21,1436.08,1.62,35799,35774,0.0002914,*G,0.84
2008-039A,33278,INMARSAT 4-F3,1436.09,3.87,35799,35774,0.0002871,*G,0.55
2008-041A,33320,HUANJING 1A (HJ-1A),97.18,97.64,638,609,0.0020196,,0.27
2008-041B,33321,HUANJING 1B (HJ-1B),97.19,97.63,652,597,0.0038896,,0.21
